Epoch,Loss,Accuracy
1,3.686569005250931,0.10819498697916667
2,3.3729246159394584,0.13090006510416666
3,3.1926846404870353,0.14591471354166666
4,3.0540391008059182,0.16349283854166666
1,3.2427674334570273,0.16317001241721854
2,2.253982792626943,0.37211558360927155
3,1.8042652591174801,0.4825835575331126
4,1.6129873043653982,0.5240583609271523
5,1.466027088512648,0.5492226303807947
6,1.3809553961090695,0.5676609064569537
7,1.3141566507074216,0.5830013451986755
8,1.262823300645841,0.5949529180463576
9,1.2191148202940327,0.6067816121688742
10,1.179719687692377,0.6196515418046358
1,3.071253617078263,0.19307481374172186
2,2.089129098203798,0.4115014486754967
3,1.7367406751935845,0.4986353994205298
4,1.5190889464308883,0.5406146523178808
5,1.404673129517511,0.5621313638245033
6,1.3200584531619848,0.5837321502483444
7,1.2624741058475923,0.5991631312086093
8,1.2145768486900834,0.6123240894039735
9,1.1718777473399182,0.623046875
10,1.1370763281323262,0.6322821812913907
11,1.1016347412242005,0.6440850062086093
12,1.0742350370678682,0.6515806084437086
13,1.0449924693991806,0.6608870550496688
14,1.0195016154390297,0.6688806394867549
15,0.9916774145025291,0.6774110099337748
16,0.9664511206923732,0.6838589093543046
17,0.9412590521850334,0.6938250206953642
18,0.9184009941997907,0.7015469784768212
19,0.8954783235954134,0.7085316639072847
20,0.8725591309812685,0.7161436775662252
21,0.852875220459818,0.7212851821192053
22,0.8318608099261656,0.7285091576986755
23,0.811261832319348,0.7347177669701986
24,0.7906139027203946,0.7409393108443708
25,0.7751000930141929,0.7452530008278145
26,0.757799434346079,0.7504721129966887
27,0.7388485393776799,0.7572045736754967
28,0.7204742684269583,0.7623784147350994
29,0.7032729260968846,0.7688780525662252
30,0.6890128870673528,0.7735215749172185
31,0.6680317343465539,0.7789347061258278
32,0.6565205121277183,0.7822977028145696
33,0.6381673327344932,0.7888296771523179
34,0.6275749267726545,0.7924578331953642
35,0.612647413417993,0.7971983650662252
36,0.5975851333693952,0.802760244205298
37,0.5886601051747404,0.8052501552152318
38,0.5716120614516025,0.8102946502483444
39,0.5627376042454448,0.8137869929635762
40,0.5520356210651777,0.8171758588576159
41,0.5415927673017742,0.819232460678808
42,0.5280226208516304,0.8244127690397351
43,0.5157225704351008,0.8281185326986755
44,0.5064543513272772,0.8317078849337748
45,0.4987226878570405,0.8336933464403974
46,0.48983521157542603,0.8364225475993378
47,0.4803239263051393,0.8398825538079471
48,0.46952836718780316,0.8430256622516556
49,0.46435413593488023,0.844623085678808
50,0.4532455229601323,0.8483870550496688
51,0.44530789366621054,0.8523579780629139
52,0.4383541846906902,0.8535608961092715
53,0.42831297406297647,0.856367704884106
54,0.42430800357401766,0.8584049048013245
55,0.41520579267811303,0.8612893211920529
56,0.41062665972488605,0.8613410596026491
57,0.4010640939339897,0.8659263762417219
58,0.39876688513534747,0.8662497413079471
59,0.39062115411884735,0.8683968853476821
60,0.3849213652263414,0.8697485513245033
61,0.37630190122995943,0.8738423530629139
62,0.37547979035124873,0.8734995860927153
63,0.368243899961181,0.8762223199503312
64,0.3634079791457448,0.8771406767384106
65,0.3569002364644941,0.8795723820364238
66,0.3524378686156494,0.8808723096026491
67,0.3457860275609604,0.8839442777317881
68,0.3440975947490591,0.883892539321192
69,0.3406428526963619,0.8846233443708609
70,0.3347692357388553,0.8866864134933775
71,0.3341090061411952,0.8877017798013245
72,0.32919422995965214,0.8879992756622517
73,0.3233126372296289,0.8907996171357616
74,0.32077200049596116,0.8914204780629139
75,0.31577467721029623,0.892500517384106
76,0.31278897634405173,0.8935352855960265
77,0.3097919760555621,0.8950098302980133
78,0.3042301893826352,0.8980235927152318
79,0.3025335863923395,0.8964391038907285
80,0.29821484570471657,0.8987155939569537
81,0.29733379362829476,0.8993493894867549
82,0.2907025819977388,0.9019557119205298
83,0.29010293992939373,0.9020979925496688
84,0.2864317618655843,0.9029710782284768
85,0.2807938732848262,0.9051764279801324
86,0.28225720106371194,0.9040511175496688
87,0.2772672051033437,0.9065086920529801
88,0.2765043592018797,0.9066574399834437
89,0.27612756113737624,0.9060624482615894
90,0.27107621127406495,0.9077374793046358
91,0.2699982967992492,0.9081643211920529
92,0.2655269664447039,0.9098652214403974
93,0.2639188261221576,0.9099881001655629
94,0.2603165151070285,0.9121675807119205
95,0.25762103132854236,0.9125556187913907
96,0.25385249647873126,0.9139137520695364
97,0.25535619258880615,0.9135968543046358
98,0.2541913990153382,0.9136097889072847
99,0.25291173742306944,0.9141271730132451
100,0.24814857266201878,0.9159315500827815
